ASHVILLE,ASHVILLE SA 5259
BUNBURY,BUNBURY SA 5266
CARCUMA,CARCUMA SA 5301
COLEBATCH,COLEBATCH SA 5266
COOKE PLAINS,COOKE PLAINS SA 5261
COOMANDOOK,COOMANDOOK SA 5261
COOMBE,COOMBE SA 5267
COONALPYN,COONALPYN SA 5265
COORONG,COORONG SA 5264
CULBURRA,CULBURRA SA 5261
DEEPWATER,DEEPWATER SA 5266
ELWOMPLE,ELWOMPLE SA 5260
FIELD,FIELD SA 5265
JABUK,JABUK SA 5301
KI KI,KI KI SA 5261
KI-KI,KI KI SA 5261
KIKI,KI KI SA 5261
LAKE ALEXANDRINA,LAKE ALEXANDRINA SA 5259
MALINONG,MALINONG SA 5259
MENINGIE,MENINGIE SA 5264
MENINGIE EAST,MENINGIE EAST SA 5264
MENINGIE WEST,MENINGIE WEST SA 5264
MOORLANDS,MOORLANDS SA 5301
NARRUNG,NARRUNG SA 5259
NATURI,NATURI SA 5259
NETHERTON,NETHERTON SA 5301
NGARKAT,NGARKAT SA 5302
PEAKE,PEAKE SA 5301
POLTALLOCH,POLTALLOCH SA 5259
SALT CREEK,SALT CREEK SA 5264
SHERLOCK,SHERLOCK SA 5301
TAILEM BEND,TAILEM BEND SA 5260
TINTINARA,TINTINARA SA 5266
WALTOWA,WALTOWA SA 5264
WELLINGTON EAST,WELLINGTON EAST SA 5259
YUMALI,YUMALI SA 5261
